date,rank,code,score,true_open_return
2025-06-26,13,603626.SH,0.11185355484485626,0.11848340928554535
2025-06-26,14,002011.SZ,0.11090412735939026,-0.2588438391685486
2025-06-26,15,603615.SH,0.11089472472667694,-0.17605634033679962
2025-06-26,16,001336.SZ,0.1105729192495346,0.2370791882276535
2025-06-26,17,002367.SZ,0.11027896404266357,-0.283687949180603
2025-06-26,18,001366.SZ,0.10862894356250763,0.16339869797229767
2025-06-26,19,000058.SZ,0.10770916938781738,0.0
2025-06-26,20,002989.SZ,0.1055234968662262,0.030873727053403854
2025-06-27,1,603590.SH,0.6737051010131836,-0.18903592228889465
2025-06-27,2,601699.SH,0.33196043968200684,0.2887391746044159
2025-06-27,3,601878.SH,0.19982312619686127,0.27397260069847107
2025-06-27,4,601901.SH,0.17961907386779785,0.37688443064689636
2025-06-27,5,002673.SZ,0.172350212931633,0.25806450843811035
2025-06-27,6,600210.SH,0.16641442477703094,1.3215858936309814
2025-06-27,7,600109.SH,0.16390511393547058,0.11350737512111664
2025-06-27,8,600155.SH,0.15879793465137482,0.283687949180603
2025-06-27,9,603181.SH,0.15564653277397156,0.08064515888690948
2025-06-27,10,601108.SH,0.1518258899450302,0.0
2025-06-27,11,600115.SH,0.14816774427890778,0.0
2025-06-27,12,601375.SH,0.14780785143375397,0.4750593900680542
2025-06-27,13,600390.SH,0.1410428285598755,0.0
2025-06-27,14,600983.SH,0.13904158771038055,-2.3786869049072266
2025-06-27,15,603196.SH,0.12906613945960999,0.0
2025-06-27,16,002324.SZ,0.12556059658527374,0.7568590641021729
2025-06-27,17,600282.SH,0.12411588430404663,0.2450980395078659
2025-06-27,18,000568.SZ,0.11797331273555756,-0.5882869362831116
2025-06-27,19,600864.SH,0.11794018745422363,-0.16694490611553192
2025-06-27,20,000728.SZ,0.1162138283252716,-0.7518796920776367
2025-06-30,1,600622.SH,0.20796646177768707,0.696864128112793
2025-06-30,2,600377.SH,0.15841716527938843,-0.3893575668334961
2025-06-30,3,600035.SH,0.15040922164916992,0.23419204354286194
2025-06-30,4,603977.SH,0.14872971177101135,-0.08223684132099152
2025-06-30,5,603281.SH,0.14597299695014954,-0.5968961119651794
2025-06-30,6,600072.SH,0.1404317021369934,0.787401556968689
2025-06-30,7,603225.SH,0.10700739920139313,0.18639329075813293
2025-06-30,8,600128.SH,0.10449792444705963,-0.9074410200119019
2025-06-30,9,601107.SH,0.10103204846382141,0.3344481587409973
2025-06-30,10,002329.SZ,0.09437249600887299,0.0
2025-06-30,11,600027.SH,0.09043094515800476,-0.18382352590560913
2025-06-30,12,605598.SH,0.08975425362586975,0.0
2025-06-30,13,600566.SH,0.08946537971496582,-7.904728889465332
2025-06-30,14,000652.SZ,0.08448261022567749,-0.7109004855155945
2025-06-30,15,600153.SH,0.0839487612247467,-0.4789271950721741
2025-06-30,16,600850.SH,0.08390682935714722,1.9974501132965088
2025-06-30,17,600933.SH,0.08220133185386658,-0.06281407177448273
2025-06-30,18,605333.SH,0.0810060203075409,0.03663003817200661
2025-06-30,19,002912.SZ,0.07973465323448181,0.08481764048337936
2025-06-30,20,600502.SH,0.0777217298746109,-3.245436191558838
2025-07-01,1,600863.SH,0.273551344871521,-0.24330900609493256
2025-07-01,2,000596.SZ,0.24241693317890167,-0.3229440450668335
2025-07-01,3,600362.SH,0.19623026251792908,-0.5121638774871826
2025-07-01,4,603214.SH,0.19460605084896088,-0.31266283988952637
2025-07-01,5,601949.SH,0.17616885900497437,0.3012048304080963
2025-07-01,6,600561.SH,0.1679167002439499,-0.15267175436019897
2025-07-01,7,600779.SH,0.1543431431055069,-1.0318949222564697
2025-07-01,8,601100.SH,0.14981991052627563,0.375
2025-07-01,9,601702.SH,0.139434352517128,0.06293266266584396
2025-07-01,10,000568.SZ,0.13442891836166382,-0.34391534328460693
2025-07-01,11,600809.SH,0.1331450641155243,-0.22110097110271454
2025-07-01,12,603719.SH,0.1311042457818985,0.9053497910499573
2025-07-01,13,002484.SZ,0.13088740408420563,0.14641287922859192
2025-07-01,14,603279.SH,0.12481173872947693,-0.13395847380161285
2025-07-01,15,000411.SZ,0.11941990256309509,0.0
2025-07-01,16,000868.SZ,0.11093112826347351,-0.8474576473236084
2025-07-01,17,603950.SH,0.11086598038673401,0.8389931917190552
2025-07-01,18,002668.SZ,0.11017782986164093,0.8188331723213196
2025-07-01,19,605286.SH,0.10859787464141846,0.3028773367404938
2025-07-01,20,001380.SZ,0.10605029761791229,0.244140625
2025-07-02,1,603393.SH,0.22998110949993134,0.03475842997431755
2025-07-02,2,603871.SH,0.1700439751148224,0.27497708797454834
2025-07-02,3,601088.SH,0.11284087598323822,0.0
2025-07-02,4,600121.SH,0.10639065504074097,-0.5076141953468323
2025-07-02,5,001300.SZ,0.10478980839252472,0.8804108500480652
2025-07-02,6,002831.SZ,0.10458202660083771,0.12947776913642883
2025-07-02,7,600936.SH,0.09146933257579803,-0.8064516186714172
2025-07-02,8,002062.SZ,0.08843177556991577,-0.8333333134651184
2025-07-02,9,601106.SH,0.08654344081878662,0.0
2025-07-02,10,002931.SZ,0.08517840504646301,0.5656819343566895
2025-07-02,11,600778.SH,0.0782807469367981,0.0
2025-07-02,12,600803.SH,0.07821975648403168,-0.10638298094272614
2025-07-02,13,601717.SH,0.0753193199634552,0.0
2025-07-02,14,600050.SH,0.07476156949996948,-0.18691588938236237
2025-07-02,15,600099.SH,0.07436123490333557,0.3683241307735443
2025-07-02,16,600732.SH,0.07248605787754059,1.0678870677947998
2025-07-02,17,000798.SZ,0.07116931676864624,3.7735848426818848
2025-07-02,18,601608.SH,0.07043240964412689,1.5981734991073608
2025-07-02,19,002283.SZ,0.0698154866695404,-0.6633499264717102
2025-07-02,20,003008.SZ,0.06672489643096924,0.28155794739723206
2025-07-03,1,600594.SH,0.32303622364997864,0.0
2025-07-03,2,600327.SH,0.17607401311397552,0.0
2025-07-03,3,603803.SH,0.16627250611782074,-0.4040403962135315
2025-07-03,4,603955.SH,0.12574400007724762,0.456620991230011
2025-07-03,5,605259.SH,0.12483339011669159,-0.09900990128517151
2025-07-03,6,600218.SH,0.10703510046005249,-0.22371365129947662
2025-07-03,7,600883.SH,0.0812472552061081,0.24968789517879486
2025-07-03,8,603786.SH,0.08074809610843658,-0.3590664267539978
2025-07-03,9,600039.SH,0.07620467245578766,0.7526881694793701
2025-07-03,10,600853.SH,0.07326905429363251,-0.8426966071128845
2025-07-03,11,603173.SH,0.073206827044487,0.0
2025-07-03,12,002054.SZ,0.07186165452003479,0.5797101259231567
2025-07-03,13,002831.SZ,0.0713735818862915,-0.04314063861966133
2025-07-03,14,600997.SH,0.07038953900337219,-0.1666666716337204
2025-07-03,15,002011.SZ,0.06934390962123871,0.08620689809322357
